Subdivision,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
ANDAMAN & NICOBAR ISLANDS,1919,10.2,18.0,0.0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1
ANDAMAN & NICOBAR ISLANDS,1920,122.3,7.4,3.1,13.0,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2
ANDAMAN & NICOBAR ISLANDS,1921,13.2,3.1,0.0,37.5,351.2,282.7,487.1,330.0,581.2,360.7,118.2,41.5,2606.4
ANDAMAN & NICOBAR ISLANDS,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162.0,541.0,192.2,3554.2
ANDAMAN & NICOBAR ISLANDS,1923,79.5,0.0,38.2,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,2838.2
ANDAMAN & NICOBAR ISLANDS,1924,28.7,0.0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,147.2,2838.2
ANDAMAN & NICOBAR ISLANDS,1925,36.6,0.0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196.0,2480.5
ANDAMAN & NICOBAR ISLANDS,1926,122.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,719.3,443.8,148.4,560.7,3282.2
ANDAMAN & NICOBAR ISLANDS,1927,3.0,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9
ANDAMAN & NICOBAR ISLANDS,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3
ANDAMAN & NICOBAR ISLANDS,1929,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5,2926.6
ANDAMAN & NICOBAR ISLANDS,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1
ANDAMAN & NICOBAR ISLANDS,1931,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,368.3,22.8,182.7,2357.7
ANDAMAN & NICOBAR ISLANDS,1932,2.8,2.5,10.1,58.2,479.7,417.5,387.1,397.5,429.5,284.6,238.8,147.2,2838.2
ANDAMAN & NICOBAR ISLANDS,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759.0,239.8,268.8,56.9,2987.5
ANDAMAN & NICOBAR ISLANDS,1934,7.3,172.9,6.9,131.4,62.0,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8
ANDAMAN & NICOBAR ISLANDS,1935,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154.0
ANDAMAN & NICOBAR ISLANDS,1936,16.5,15.3,116.5,79.3,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,2838.2
ANDAMAN & NICOBAR ISLANDS,1937,21.6,10.7,0.0,112.0,330.5,732.8,449.5,332.0,349.5,383.3,251.7,617.5,3591.1
ANDAMAN & NICOBAR ISLANDS,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4
ANDAMAN & NICOBAR ISLANDS,1939,54.1,1.5,16.1,77.3,480.5,541.0,335.6,202.8,512.5,263.9,165.9,131.3,2782.5
ANDAMAN & NICOBAR ISLANDS,1940,0.5,2.8,59.4,0.0,320.7,335.4,268.1,889.2,477.5,114.1,221.0,318.8,3007.5
ANDAMAN & NICOBAR ISLANDS,1941,0.0,12.8,0.0,77.8,251.9,497.0,302.5,311.9,516.0,382.8,266.0,279.5,2898.2
ANDAMAN & NICOBAR ISLANDS,1942,39.2,7.4,38.2,79.3,338.4,417.5,387.1,397.5,429.5,284.6,238.8,147.2,2838.2
ANDAMAN & NICOBAR ISLANDS,1946,84.4,3.6,21.1,135.2,309.1,535.9,189.0,367.4,478.3,276.9,146.9,243.8,2791.6
ANDAMAN & NICOBAR ISLANDS,1947,25.1,111.1,63.2,127.7,206.3,965.6,490.0,293.7,429.5,376.0,67.5,168.6,2838.2
ANDAMAN & NICOBAR ISLANDS,1949,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0,3489.6
ANDAMAN & NICOBAR ISLANDS,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2
ANDAMAN & NICOBAR ISLANDS,1951,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8,3275.1
ANDAMAN & NICOBAR ISLANDS,1952,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9
ANDAMAN & NICOBAR ISLANDS,1953,56.0,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246.0,63.3,2721.7
ANDAMAN & NICOBAR ISLANDS,1954,83.8,2.1,34.3,58.0,394.7,539.4,510.8,605.4,763.8,247.2,84.7,124.7,3448.9
ANDAMAN & NICOBAR ISLANDS,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.5
ANDAMAN & NICOBAR ISLANDS,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080.0
ANDAMAN & NICOBAR ISLANDS,1957,28.0,19.3,4.6,19.0,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2
ANDAMAN & NICOBAR ISLANDS,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4
ANDAMAN & NICOBAR ISLANDS,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.2,589.6,332.6,242.4,128.5,3343.1
ANDAMAN & NICOBAR ISLANDS,1960,104.2,72.4,12.1,53.5,535.4,541.4,308.4,270.7,442.4,400.0,191.7,92.8,3025.0
ANDAMAN & NICOBAR ISLANDS,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612.0,379.9,280.6,144.5,3938.1
ANDAMAN & NICOBAR ISLANDS,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7
ANDAMAN & NICOBAR ISLANDS,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.4,109.3,179.9,2981.7
ANDAMAN & NICOBAR ISLANDS,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.7
ANDAMAN & NICOBAR ISLANDS,1965,11.8,30.4,25.3,51.0,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8
ANDAMAN & NICOBAR ISLANDS,1966,79.8,4.2,12.0,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.1
ANDAMAN & NICOBAR ISLANDS,1967,164.6,21.6,30.0,63.3,516.4,340.8,537.8,614.2,303.5,427.5,99.7,96.9,3216.3
ANDAMAN & NICOBAR ISLANDS,1968,22.1,1.3,4.2,81.5,297.6,545.1,519.3,242.0,496.8,281.6,152.0,119.2,2762.7
ANDAMAN & NICOBAR ISLANDS,1969,106.3,64.7,14.6,20.8,317.2,422.8,345.2,281.4,489.7,146.7,343.7,65.8,2618.9
ANDAMAN & NICOBAR ISLANDS,1970,72.2,34.0,7.8,58.2,422.7,407.2,564.5,342.9,423.5,386.6,418.4,232.7,3370.7
ANDAMAN & NICOBAR ISLANDS,1971,41.5,32.8,37.6,35.3,398.0,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.5
ANDAMAN & NICOBAR ISLANDS,1972,13.7,1.7,7.5,178.2,420.1,470.0,544.6,384.9,444.4,263.7,413.9,179.9,3322.7
ANDAMAN & NICOBAR ISLANDS,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,2991.1
